call-detector,mixup-alpha,secondary-label-weights,valid2020,freefield1010,grouped-by-author,cnn,epoch,f1-score,timestamp
nc,5,0.6,0,0,0,resnest50,73,0.5403,20220304210730.pth
nc,5,0.6,0,0,0,resnest50,74,0.538,20220304211313.pth
nc,5,0.6,0,0,0,resnest50,75,0.5402,20220304211857.pth
nc,5,0.6,0,0,0,resnest50,76,0.5467,20220304212443.pth
nc,5,0.6,0,0,0,resnest50,77,0.5482,20220304213026.pth
nc,5,0.6,0,0,0,resnest50,78,0.548,20220304213611.pth
nc,5,0.6,0,0,0,resnest50,79,0.5487,20220304214152.pth
nc,5,0.6,0,0,0,resnest50,80,0.5476,20220304214736.pth
nc,5,0.6,0,0,0,resnest50,81,0.5455,20220304215317.pth
nc,5,0.6,0,0,0,resnest50,82,0.5466,20220304215859.pth
nc,5,0.6,0,0,0,resnest50,83,0.5383,20220304220445.pth
nc,5,0.6,0,0,0,resnest50,84,0.547,20220304221029.pth
nc,5,0.6,0,0,0,resnest50,85,0.5498,20220304221613.pth
nc,5,0.6,0,0,0,resnest50,86,0.5433,20220304222157.pth
nc,5,0.6,0,0,0,resnest50,87,0.5507,20220304222736.pth
nc,5,0.6,0,0,0,resnest50,88,0.5478,20220304223319.pth
nc,5,0.6,0,0,0,resnest50,89,0.5406,20220304223901.pth
nc,5,0.6,0,0,0,resnest50,90,0.5403,20220304224444.pth
nc,5,0.6,0,0,0,resnest50,91,0.5491,20220304225026.pth
nc,5,0.6,0,0,0,resnest50,92,0.5554,20220304225616.pth
nc,5,0.6,0,0,0,resnest50,93,0.5427,20220304230157.pth
nc,5,0.6,0,0,0,resnest50,94,0.5426,20220304230740.pth
nc,5,0.6,0,0,0,resnest50,95,0.5507,20220304231323.pth
nc,5,0.6,0,0,0,resnest50,96,0.5499,20220304231908.pth
nc,5,0.6,0,0,0,resnest50,97,0.5448,20220304232450.pth
nc,5,0.6,0,0,0,resnest50,98,0.5451,20220304233033.pth
nc,5,0.6,0,0,0,resnest50,99,0.5505,20220304233617.pth
nc,5,0.6,0,0,1,resnest50,47,0.3771,20220305040720.pth
nc,5,0.6,0,0,1,resnest50,48,0.3836,20220305041256.pth
nc,5,0.6,0,0,1,resnest50,49,0.3835,20220305041832.pth
nc,5,0.6,0,0,1,resnest50,50,0.3833,20220305042408.pth
nc,5,0.6,0,0,1,resnest50,51,0.3763,20220305042944.pth
nc,5,0.6,0,0,1,resnest50,53,0.381,20220305044056.pth
nc,5,0.6,0,0,1,resnest50,54,0.3776,20220305044634.pth
nc,5,0.6,0,0,1,resnest50,55,0.3853,20220305045210.pth
nc,5,0.6,0,0,1,resnest50,56,0.3831,20220305045748.pth
nc,5,0.6,0,0,1,resnest50,58,0.3758,20220305050901.pth
nc,5,0.6,0,0,1,resnest50,59,0.3773,20220305051437.pth
nc,5,0.6,0,0,1,resnest50,60,0.3756,20220305052013.pth
nc,5,0.6,0,0,1,resnest50,62,0.3898,20220305053129.pth
nc,5,0.6,0,0,1,resnest50,63,0.3758,20220305053707.pth
nc,5,0.6,0,0,1,resnest50,64,0.3755,20220305054245.pth
nc,5,0.6,0,0,1,resnest50,65,0.3906,20220305054824.pth
nc,5,0.6,0,0,1,resnest50,66,0.3754,20220305055400.pth
nc,5,0.6,0,0,1,resnest50,67,0.3964,20220305055936.pth
nc,5,0.6,0,0,1,resnest50,68,0.3899,20220305060512.pth
nc,5,0.6,0,0,1,resnest50,69,0.3911,20220305061050.pth
nc,5,0.6,0,0,1,resnest50,70,0.3852,20220305061627.pth
nc,5,0.6,0,0,1,resnest50,71,0.3792,20220305062204.pth
nc,5,0.6,0,0,1,resnest50,72,0.3943,20220305062741.pth
nc,5,0.6,0,0,1,resnest50,73,0.3782,20220305063319.pth
nc,5,0.6,0,0,1,resnest50,74,0.3871,20220305063857.pth
nc,5,0.6,0,0,1,resnest50,75,0.3892,20220305064433.pth
nc,5,0.6,0,0,1,resnest50,76,0.3848,20220305065012.pth
nc,5,0.6,0,0,1,resnest50,77,0.391,20220305065548.pth
nc,5,0.6,0,0,1,resnest50,78,0.3816,20220305070123.pth
nc,5,0.6,0,0,1,resnest50,79,0.3946,20220305070659.pth
nc,5,0.6,0,0,1,resnest50,80,0.3899,20220305071235.pth
nc,5,0.6,0,0,1,resnest50,81,0.3833,20220305071811.pth
nc,5,0.6,0,0,1,resnest50,82,0.3917,20220305072347.pth
nc,5,0.6,0,0,1,resnest50,83,0.386,20220305072924.pth
nc,5,0.6,0,0,1,resnest50,84,0.3809,20220305073501.pth
nc,5,0.6,0,0,1,resnest50,85,0.3871,20220305074035.pth
nc,5,0.6,0,0,1,resnest50,86,0.3899,20220305074613.pth
nc,5,0.6,0,0,1,resnest50,87,0.3923,20220305075150.pth
nc,5,0.6,0,0,1,resnest50,88,0.3793,20220305075727.pth
nc,5,0.6,0,0,1,resnest50,89,0.3815,20220305080304.pth
nc,5,0.6,0,0,1,resnest50,90,0.3854,20220305080840.pth
nc,5,0.6,0,0,1,resnest50,91,0.3869,20220305081417.pth
nc,5,0.6,0,0,1,resnest50,92,0.3884,20220305081955.pth
nc,5,0.6,0,0,1,resnest50,93,0.3886,20220305082535.pth
nc,5,0.6,0,0,1,resnest50,94,0.3896,20220305083111.pth
nc,5,0.6,0,0,1,resnest50,95,0.3924,20220305083647.pth
nc,5,0.6,0,0,1,resnest50,96,0.3866,20220305084224.pth
nc,5,0.6,0,0,1,resnest50,97,0.3962,20220305084800.pth
nc,5,0.6,0,0,1,resnest50,98,0.3855,20220305085338.pth
nc,5,0.6,0,0,1,resnest50,99,0.3946,20220305085915.pth
nc,5,0.6,1,1,1,resnest50,33,0.3808,20220305123132.pth
nc,5,0.6,1,1,1,resnest50,34,0.3804,20220305123744.pth
nc,5,0.6,1,1,1,resnest50,48,0.3831,20220305140425.pth
nc,5,0.6,1,1,1,resnest50,50,0.4018,20220305141646.pth
nc,5,0.6,1,1,1,resnest50,53,0.3819,20220305143520.pth
nc,5,0.6,1,1,1,resnest50,54,0.3808,20220305144130.pth
nc,5,0.6,1,1,1,resnest50,55,0.3801,20220305144742.pth
nc,5,0.6,1,1,1,resnest50,57,0.388,20220305150002.pth
nc,5,0.6,1,1,1,resnest50,58,0.387,20220305150614.pth
nc,5,0.6,1,1,1,resnest50,59,0.3854,20220305151227.pth
nc,5,0.6,1,1,1,resnest50,60,0.3957,20220305151837.pth
nc,5,0.6,1,1,1,resnest50,61,0.3878,20220305152449.pth
nc,5,0.6,1,1,1,resnest50,62,0.3858,20220305153059.pth
nc,5,0.6,1,1,1,resnest50,63,0.3884,20220305153711.pth
nc,5,0.6,1,1,1,resnest50,64,0.3991,20220305154321.pth
nc,5,0.6,1,1,1,resnest50,65,0.3939,20220305154932.pth
nc,5,0.6,1,1,1,resnest50,66,0.4013,20220305155544.pth
nc,5,0.6,1,1,1,resnest50,67,0.3885,20220305160156.pth
nc,5,0.6,1,1,1,resnest50,68,0.3847,20220305160807.pth
nc,5,0.6,1,1,1,resnest50,69,0.3876,20220305161417.pth
nc,5,0.6,1,1,1,resnest50,70,0.4027,20220305162028.pth
nc,5,0.6,1,1,1,resnest50,71,0.4105,20220305162639.pth
nc,5,0.6,1,1,1,resnest50,72,0.3932,20220305163251.pth
nc,5,0.6,1,1,1,resnest50,73,0.3887,20220305163901.pth
nc,5,0.6,1,1,1,resnest50,74,0.3989,20220305164511.pth
nc,5,0.6,1,1,1,resnest50,75,0.3927,20220305165120.pth
nc,5,0.6,1,1,1,resnest50,76,0.4,20220305165731.pth
nc,5,0.6,1,1,1,resnest50,77,0.3862,20220305170343.pth
nc,5,0.6,1,1,1,resnest50,78,0.3978,20220305170954.pth
nc,5,0.6,1,1,1,resnest50,79,0.3921,20220305171605.pth
nc,5,0.6,1,1,1,resnest50,80,0.3982,20220305172217.pth
nc,5,0.6,1,1,1,resnest50,81,0.3974,20220305172828.pth
nc,5,0.6,1,1,1,resnest50,82,0.3934,20220305173439.pth
nc,5,0.6,1,1,1,resnest50,83,0.3977,20220305174050.pth
nc,5,0.6,1,1,1,resnest50,84,0.405,20220305174702.pth
